,serial,star_name,distance,mass,radius
0,,,,,
1,2.0,LHS 102BC,,,
2,,,,,
3,14.0,2MASS J00034227-2822410,,,
4,,,,,
5,31.0,2MASS J02511327+0047364,,,
6,,,,,
7,117.0,TWA 27A,,,
8,,,,,
9,118.0,TWA 27B,,,
10,,,,,
11,177.0,2MASS J14112131-2119503,,,
12,,,,,
13,26.0,2MASS J02103857-3015313,101.0,15,1.53
14,,,,,
15,129.0,2MASS J13204427+0409045,101.0,67,1.01
16,,,,,
17,194.0,WISE 0038+8405,101.8,,
18,,,,,
19,67.0,2MASS J06085283-2753583,102.0,38,1.51
20,,,,,
21,273.0,WISE 1147-2040,102.0,,
22,,,,,
23,140.0,CFBDSIR 1458+10A,104.0,11.1,1.5
24,,,,,
25,141.0,CFBDSIR 1458+10B,104.0,9,1.3
26,,,,,
27,168.0,2MASS J20004841-7523070,105.0,25,1.88
28,,,,,
29,215.0,WISE 0316+4307,106.3,,
30,,,,,
31,314.0,WISE 1830+4542,107.0,,
32,,,,,
33,99.0,2MASSI J1017075+130839 [de],108.0,,
34,,,,,
35,171.0,2MASSW J2101154+175658,108.0,,
36,,,,,
37,288.0,WISE 1506+7027,11.1,,
38,,,,,
39,157.0,2MASS J16262034+3925190 [de],110.0,71,1.03
40,,,,,
41,25.0,SDSS J020742.48+000056.2 [de],111.0,47,0.97
42,,,,,
43,350.0,WISEA 1101+5400,111.0,,
44,,,,,
45,174.0,HB 2124-4228,113.0,94,1.21
46,,,,,
47,161.0,2MASSI J1726000+153819,114.0,24,1.4
48,,,,,
49,124.0,2MASSW J1239272+551537 [de],119.0,,
50,,,,,
51,32.0,Teegarden's star,12.578,80,1.27
52,,,,,
53,351.0,2M1510,120.0,40 + 39 + ?,
54,,,,,
55,115.0,2MASS J11544223-3400390 [de],129.0,37,1.5
56,,,,,
57,104.0,DEN 1048-3956,13.15,77,1.07
58,,,,,
59,75.0,UGPS J072227.51-054031.2,13.4,26,0.98
60,,,,,
61,20.0,2MASS J01415823-4633574 [de],130.0,20,1.61
62,,,,,
63,48.0,DENIS-P J035726.9-441730 [de],130.0,,
64,,,,,
65,8.0,2MASS J00332386-1521309 [de],131.0,29,1.43
66,,,,,
67,315.0,WISE 1841+7000,131.1,,
68,,,,,
69,113.0,TWA 26,137.0,30,2.2
70,,,,,
71,166.0,2MASSW J1841086+311727,138.0,67,1.01
72,,,,,
73,53.0,2MASS J04362788-4114465,142.0,39,1.97
74,,,,,
75,198.0,WISE 0106+1518,142.9,,
76,,,,,
77,4.0,2MASS J00250365+4759191AB,143.0,,
78,,,,,
79,185.0,2MASS J23225299-6151275,148.0,17,1.59
80,,,,,
81,134.0,SDSS J141659.78+500626.4 [de],149.0,59,0.99
82,,,,,
83,28.0,2MASS J02411151-0326587 [de],152.0,27,1.41
84,,,,,
85,179.0,2MASSW J2208136+292121,154.0,27,1.41
86,,,,,
87,27.0,2MASS J02340093-6442068,155.0,20,1.62
88,,,,,
89,82.0,DENIS J081730.0-615520,16.1,44,0.94
90,,,,,
91,35.0,DEN 0255-4700,16.2,80,0.97
92,,,,,
93,299.0,WISE 1639-6847,16.3,,
94,,,,,
95,19.0,2MASSI J0117474-340325 [de],163.0,20,1.62
96,,,,,
97,109.0,Cha 110913-773444,163.0,8,1.8
98,,,,,
99,95.0,2MASS 0939−2448,17.4,32,0.95
100,,,,,
101,223.0,WISE 0350-5658,17.7,,
102,,,,,
103,112.0,2MASS J11145133−2618235,18.2,33,0.96
